"State/UT/All-India","Sector","Fractile.class.of.MPCE","1","2","3","4","5","6","7","8","9","10+"
"Haryana","Urban","40-50%",0.8,10.4,12.2,29.6,19.5,18.8,2.5,1.9,"1.5","2.8"
"Haryana","Urban","50-60%",2.4,8.5,21.7,36.3,19.5,9,1.5,0.3,"0.3","0.7"
"Haryana","Urban","60-70%",1.7,12.2,15.1,35.7,20.7,9.6,3.1,0.3,"1.2","0.4"
"Haryana","Urban","70-80%",8.3,13.6,21.3,28.2,16.6,7.6,2.9,0.5,"0.2","0.8"
"Haryana","Urban","80-90%",10.7,19.6,14,26.7,17.6,6.9,1.6,1.4,"0.3","1.3"
"Haryana","Urban","90-95%",19.8,17.9,22.1,24.2,12.1,3.6,0,0.3,"0","0"
"Haryana","Urban","95-100%",43.9,20.4,12.2,15.4,5.6,2,0,0,"0.5","0"
"Himachal Pradesh","Rural","0-5%",0,4,7.7,12.4,30.9,21.6,14,3.6,"3.2","2.6"
"Himachal Pradesh","Rural","5-10%",0,1.2,13.1,24.4,29.3,17.8,8.4,3.3,"0","2.5"
"Himachal Pradesh","Rural","10-20%",0.6,6.9,7.7,25.4,28.8,11.3,12.3,3.8,"2.5","0.7"
"Himachal Pradesh","Rural","20-30%",1.2,3.2,14,30.7,29.1,13,3.9,2.1,"0.7","2.2"
"Himachal Pradesh","Rural","30-40%",0.8,9,20,26.8,22.5,10.2,5.3,3.3,"1.3","0.8"
"Himachal Pradesh","Rural","40-50%",5,13.3,19,29.8,15.4,11.7,2.6,1.4,"0.9","0.8"
"Himachal Pradesh","Rural","50-60%",7.5,12.7,22.3,25.7,18.2,6.7,1.6,2.2,"0.7","2.3"
"Himachal Pradesh","Rural","60-70%",7.8,13.7,21.3,28.5,10.7,12.1,1.9,2.5,"0.8","0.7"
"Himachal Pradesh","Rural","70-80%",6.8,17,26.5,27.1,8,9.8,2.9,0.8,"0.8","0.3"
"Himachal Pradesh","Rural","80-90%",17.3,22.8,18.8,17.6,10.7,7.8,2.6,0.9,"0.9","0.7"
"Himachal Pradesh","Rural","90-95%",29.8,22.6,28.3,10.3,7.2,0.6,0,0,"0","1.1"
"Himachal Pradesh","Rural","95-100%",76.7,15.5,2.3,3.1,1,0,1.3,0,"0","0"
"Himachal Pradesh","Urban","0-5%",42.1,2.4,8.6,10.4,9.5,20.1,2.1,2.1,"0","2.7"
"Himachal Pradesh","Urban","5-10%",4,8.7,9.9,13.6,29.8,13.6,14.6,5.9,"0","0"
"Himachal Pradesh","Urban","10-20%",18.3,17.6,11.9,11.4,28.3,5.4,4.1,1.4,"1.6","0"
"Himachal Pradesh","Urban","20-30%",9.2,4.6,10.5,41.4,17.5,8.7,7.2,0,"0","0.9"
"Himachal Pradesh","Urban","30-40%",16.5,10.9,9.3,36.9,15.4,10.2,0.9,0,"0","0"
"Himachal Pradesh","Urban","40-50%",10.7,21,26.9,19.8,16.2,2.3,0.4,1.8,"0.8","0"
"Himachal Pradesh","Urban","50-60%",4.3,25.8,26.5,22,14.8,2.3,2.3,0,"0.8","1.3"
"Himachal Pradesh","Urban","60-70%",19.2,23.2,20,26.9,5.5,2.8,0,1.1,"0","1.4"
"Himachal Pradesh","Urban","70-80%",35,14.5,24.8,21.3,2.5,0,1.6,0.3,"0","0"
"Himachal Pradesh","Urban","80-90%",53.1,16.3,17.3,6.3,5.8,1.1,0,0,"0","0"
"Himachal Pradesh","Urban","90-95%",65.2,13.2,9.7,11.5,0.4,0,0,0,"0","0"
"Himachal Pradesh","Urban","95-100%",80.1,11.3,4.3,2.8,1.5,0,0,0,"0","0"
"Jharkhand","Rural","0-5%",0.9,3.5,4.1,5.4,11.5,22.8,24,11.1,"8","8.8"
"Jharkhand","Rural","5-10%",3.5,1.6,3.7,9.6,18.8,26.7,18.8,7,"4.9","5.5"
"Jharkhand","Rural","10-20%",1.4,5,9.1,14.7,25.7,20.3,12.1,3.9,"2.7","5.1"
"Jharkhand","Rural","20-30%",1.4,5.7,9,17.8,24.2,19.1,8.5,7.5,"1.4","5.4"
"Jharkhand","Rural","30-40%",1.2,5.1,10.4,20.3,26.5,17,9.6,3.7,"3.7","2.5"
"Jharkhand","Rural","40-50%",1.6,5.1,11.2,25.1,25.8,19.7,5.6,3.5,"1","1.4"
"Jharkhand","Rural","50-60%",1.2,9.1,14,23.2,25.6,15.6,6.8,1.6,"0.6","2.2"
"Jharkhand","Rural","60-70%",1.7,11.4,12.2,30.5,21.7,11.1,4.6,2.2,"2.2","2.6"
"Jharkhand","Rural","70-80%",1.6,11.8,15.4,26.7,20.8,11.7,6.4,3.2,"0.5","2"
